Member of Cabinet,Written,Question No,Date Published,Date Replied,Timeousness
Water & Environmental affairs,Oral,294,41893,41894,on time
Sport & Recreation ,Oral,296,41893,41894,on time
Human settlements ,Written,2288,41895,41919,late
"Women, C&PwD",Written,2289,41895,41961,very late
"Women, C&PwD",Written,2290,41895,41934,late
Public Works,Written,2292,41895,41920,Late
Public Works,Written,2293,41895,41920,Late
Social Development,Written,2294,41895,41976,Very late
Police,Written,2295,41895,41920,late
Police,Written,2296,41895,41920,late
Public Works,Written,2301,41895,41943,very late
Transport,Written,2305,41895,41919,late
Water & Environmental affairs,Written,2311,41895,41913,late
Science & Technology,Written ,2312,41895,41909,on time
Labour,Written,2313,41895,41919,late
Energy ,Written,2314,41895,41948,late
Transport,Written,2315,41895,41930,late
Water & Environmental affairs,Written,2316,41895,41916,late
Labour,Written,2317,41895,41934,late
Defence & MVs,Written,2320,41895,41920,late
Rural Dev & Land Reforms,Written,2321,41895,41944,very late
Police,Written,2322,41895,41920,late
Police,Written,2323,41895,41920,late
Police,Written,2324,41895,41920,late
Home affairs,Written,2327,41895,41909,On time
Finance,Written,2328,41895,41947,very late
Labour,Written,2333,41895,41919,late
Home affairs,Written,2334,41895,41919,Late
Public Works,Written,2336,41895,41934,Late
Health ,Written,2337,41895,41962,very late
Finance,Written,2338,41895,41905,on time
Finance,Written,2339,41895,41948,very late
Health ,Written,2340,41895,41898,on time
Health ,Written,2343,41895,41894,on time
Sport & Recreation ,Written,2344,41895,41913,late
Labour,Written,2345,41895,41934,late
Trade and Industry,Written,2346,41895,41901,On time
Trade and Industry,Written,2347,41895,41901,On time
Defence & MVs,Written,2349,41895,41962,late
Transport,Written,2350,41895,41919,late
Defence & MVs,Written,2351,41895,41920,late
Social Development,Written,2353,41895,41947,Very late
Health ,Written,2354,41895,41919,late
Health ,Written,2355,41895,41984,very late
Water & Environmental affairs,Written,2356,41895,41915,late
Energy ,Written,2357,41895,41919,late
Intl Relations and Cooperation,Written,2358,41895,41935,late
Intl Relations and Cooperation,Written,2359,41895,41935,late
Police,Written,2360,41895,41920,late
Police,Written,2361,41895,41920,late
Intl Relations and Cooperation,Written,2362,41895,41920,late
Energy ,Written,2363,41895,41919,late
Labour,Written,2366,41895,41934,late
Justice and CD,Written,2306,41898,41912,on time
Justice and CD,Written,2307,41898,41912,on time
Justice and CD,Written,2325,41898,41912,on time
Human settlements ,Written,2368,41902,41919,on time
Human settlements ,Written,2369,41902,41920,late
Human settlements ,Written,2370,41902,41920,late
Police,Written,2371,41902,41920,late
Police,Written,2376,41902,41920,late
Defence & MVs,Written,2377,41902,41920,late
Water & Environmental affairs,Written,2378,41902,41914,on time
Water & Environmental affairs,Written,2379,41902,41914,on time
Labour,Written,2380,41902,41919,late
Energy ,Written,2382,41902,41919,late
Finance,Written,2384,41902,41942,Late
Trade and Industry,Written,2385,41902,41909,On time
Police,Written,2386,41902,41920,late
Police,Written,2387,41902,41920,late
Police,Written,2388,41902,41920,late
Finance,Written,2391,41902,41927,Late
Home affairs,Written,2392,41902,41940,Late
Home affairs,Written,2393,41902,41919,Late
Home affairs,Written,2394,41902,41940,Late
Justice and CD,Written,2395,41902,41916,on time
Justice and CD,Written,2396,41902,41916,on time
Defence & MVs,Written,2397,41902,41985,very late
Defence & MVs,Written,2398,41902,41962,very late
Home affairs,Written,2400,41902,41919,Late
Defence & MVs,Written,2401,41902,41934,late
Health ,Written,2402,41902,41919,on time
Defence & MVs,Written,2403,41902,41920,late
Trade and Industry,Written,2404,41902,41909,On time
Health ,Written,2405,41902,41985,very late
Public Works,Written,2407,41902,41985,very late
Public Works,Written,2408,41902,41920,Late
Public Works,Written,2411,41902,41933,Late
Human settlements ,Written,2414,41902,41920,late
Human settlements ,Written,2415,41902,41920,late
Human settlements ,Written,2416,41902,41920,late
Human settlements ,Written,2417,41902,41920,late
Human settlements ,Written,2418,41902,41920,late
Human settlements ,Written,2419,41902,41920,late
Rural Dev & Land Reforms,Written,2420,41902,41944,late
Trade and Industry,Written,2421,41902,41909,On time
Trade and Industry,Written,2422,41902,41912,On time
Performance Monitoring,Written,2423,41902,41956,very late
Rural Dev & Land Reforms,Written,2424,41902,41957,very late
Finance,Written,2427,41902,41947,very late
Water & Environmental affairs,Written,2428,41902,41920,late
Transport,Written,2429,41902,41926,late
Transport,Written,2430,41902,41926,late
Transport,Written,2431,41902,41920,late
Transport,Written,2432,41902,41920,late
Science & Technology,Written ,2433,41902,41926,late
Science & Technology,Written ,2434,41902,41926,late
Science & Technology,Written ,2435,41902,41926,late
Labour,Written,2436,41902,41934,late
Labour,Written,2437,41902,41934,late
Mineral resources,Written,2438,41902,41914,on time
Performance Monitoring,Written,2443,41902,41961,very late
Transport,Written,2444,41902,41933,late
Transport,Written,2445,41902,41926,late
Science & Technology,Written ,2446,41902,41926,late
Transport,Written,2447,41902,41933,late
Mineral resources,Written,2448,41902,41920,Late
Police,Written,2449,41902,41920,late
Water & Environmental affairs,Written,2450,41902,41915,on time
Water & Environmental affairs,Written,2451,41902,41914,on time
Public Works,Written,2452,41902,41934,Late
Police,Written,2453,41902,41920,late
Home affairs,Written,2454,41902,41919,Late
Home affairs,Written,2455,41902,41926,Late
Home affairs,Written,2456,41902,41947,very late
Social Development,Written,2457,41902,41947,Very late
Tourism,Written,2458,41902,41920,late
Social Development,Written,2459,41902,41947,Very late
Social Development,Written,2460,41902,41948,Very late
Higher education and training,Written,2464,41902,41913,on time
Higher education and training,Written,2465,41902,41934,late
Sport & Recreation ,Written,2467,41902,41942,late
Water & Environmental affairs,Written,2474,41902,41914,on time
Social Development,Written,2475,41902,41948,Very late
Health ,Written,2476,41902,41962,very late
Health ,Written,2477,41902,41943,late
Social Development,Written,2479,41902,41947,Very late
Social Development,Written,2480,41902,41985,Very late
Social Development,Written,2481,41902,41955,Very late
Trade and Industry,Written,2482,41902,41912,On time
Performance Monitoring,Written,2483,41902,41933,late
Labour,Written,2484,41902,41934,late
Social Development,Written,2485,41902,41947,Very late
Home affairs,Written,2490,41902,41919,Late
Human settlements ,Written,2490,41902,41919,on time
Rural Dev & Land Reforms,Written,2491,41902,41951,very late
State Security,Written,2495,41902,41920,late
President ,Written,2496,41902,41940,late
Police,Written,2497,41902,41920,late
Police,Written,2498,41902,41920,late
Trade and Industry,Written,2500,41902,41912,On time
Human settlements ,Written,2502,41923,41934,on time
Human settlements ,Written,2503,41923,41934,on time
Police,Written,2504,41923,41948,late
Police,Written,2505,41923,41948,late
Police,Written,2506,41923,41948,late
Police,Written,2507,41923,41948,late
State Security,Written,2508,41923,41934,On time
Intl Relations and Cooperation,Written,2509,41923,41935,on time
Health ,Written,2510,41923,41943,late
Finance,Written,2512,41923,41962,Late
Justice and CD,Written,2513,41923,41935,on time
Police,Written,2514,41923,41948,late
Police,Written,2515,41923,41948,late
Home affairs,Written,2516,41923,41947,Late
Home affairs,Written,2517,41923,41955,Late
Home affairs,Written,2518,41923,41947,Late
Justice and CD,Written,2519,41923,41948,late
Justice and CD,Written,2520,41923,41935,on time
Justice and CD,Written,2521,41923,41935,on time
Defence & MVs,Written,2522,41923,41962,late
Public Works,Written,2525,41923,41943,Late
Human settlements ,Written,2526,41923,41934,on time
Human settlements ,Written,2527,41923,41934,on time
Human settlements ,Written,2528,41923,41934,on time
Human settlements ,Written,2529,41923,41934,on time
Human settlements ,Written,2530,41923,41934,on time
Human settlements ,Written,2531,41923,41934,on time
Justice and CD,Written,2532,41923,41935,on time
State Security,Written,2533,41923,41934,On time
Science & Technology,Written ,2535,41923,41937,on time
Police,Written,2536,41923,41948,late
Public Works,Written,2539,41923,41985,very late
Social Development,Written,2540,41923,41947,Late
Social Development,Written,2541,41923,41947,Late
Economic Development,Written,2542,41923,41937,on time
Economic Development,Written,2543,41923,41944,late
Water & Environmental affairs,Written,2545,41923,41948,late
Trade and Industry,Written,2549,41923,41948,late
Economic Development,Written,2550,41923,41937,on time
Trade and Industry,Written,2551,41923,41930,On time
Rural Dev & Land Reforms,Written,2552,41923,41957,late
Public S and Administration,Written,2553,41923,41948,late
Performance Monitoring,Written,2554,41923,41956,late
Basic Education,Written,2556,41923,41955,late
Basic Education,Written,2557,41923,41948,late
Basic Education,Written,2558,41923,41948,late
Rural Dev & Land Reforms,Written,2559,41923,41985,very late
Rural Dev & Land Reforms,Written,2560,41923,41957,late
Finance,Written,2562,41923,41962,Late
Water & Environmental affairs,Written,2563,41923,41943,late
Health ,Written,2564,41923,41943,late
Basic Education,Written,2567,41923,41948,late
Economic Development,Written,2572,41923,41937,on time
Energy ,Written,2573,41923,41984,very late
Higher education and training,Written,2574,41923,41933,on time
Home affairs,Written,2575,41923,41947,Late
Human settlements ,Written,2576,41923,41934,on time
Intl Relations and Cooperation,Written,2577,41923,41935,on time
Justice and CD,Written,2578,41923,41935,on time
Labour,Written,2579,41923,41948,late
Mineral resources,Written,2580,41923,41934,on time
Police,Written,2581,41923,41948,late
Public Enterprises,Written,2582,41923,41976,very late
Public S and Administration,Written,2583,41923,41935,on time
Public Works,Written,2584,41923,41948,Late
Rural Dev & Land Reforms,Written,2585,41923,41957,late
Science & Technology,Written ,2586,41923,41951,late
Social Development,Written,2587,41923,41947,Late
State Security,Written,2589,41923,41927,On time
Tourism,Written,2590,41923,41933,on time
Transport,Written,2591,41923,41948,late
Trade and Industry,Written,2592,41923,41935,On time
"Women, C&PwD",Written,2593,41923,41951,late
Performance Monitoring,Written,2594,41923,41961,late
Economic Development,Written,2595,41923,41937,on time
Public Works,Written,2596,41923,41948,Late
Rural Dev & Land Reforms,Written,2597,41923,41983,very late
Rural Dev & Land Reforms,Written,2598,41923,41969,very late
Finance,Written,2600,41923,41947,Late
Transport,Written,2601,41923,41947,late
Transport,Written,2602,41923,41947,late
Transport,Written,2603,41923,41947,late
Transport,Written,2604,41923,41948,late
Transport,Written,2605,41923,41948,late
Transport,Written,2606,41923,41948,late
Water & Environmental affairs,Written,2607,41923,41943,late
Water & Environmental affairs,Written,2608,41923,41934,on time
Water & Environmental affairs,Written,2609,41923,41943,late
Water & Environmental affairs,Written,2610,41923,41934,on time
Science & Technology,Written ,2612,41923,41937,on time
Science & Technology,Written ,2613,41923,41944,late
Transport,Written,2614,41923,41948,late
Water & Environmental affairs,Written,2615,41923,41943,late
Mineral resources,Written,2620,41923,41962,Late
Mineral resources,Written,2621,41923,41962,Late
Finance,Written,2623,41923,41972,very late
Trade and Industry,Written,2624,41923,41930,On time
Finance,Written,2625,41923,41965,Late
Higher education and training,Written,2627,41923,41947,late
Finance,Written,2628,41923,41965,Late
Water & Environmental affairs,Written,2629,41923,41934,on time
Health ,Written,2630,41923,41943,late
Basic Education,Written,2633,41923,41968,very late
Economic Development,Written,2638,41923,41937,on time
Higher education and training,Written,2639,41923,41933,on time
Home affairs,Written,2640,41923,41947,Late
Human settlements ,Written,2641,41923,41933,on time
Intl Relations and Cooperation,Written,2642,41923,41949,late
Justice and CD,Written,2643,41923,41935,on time
Labour,Written,2644,41923,41948,late
Mineral resources,Written,2645,41923,41934,Late
Police,Written,2646,41923,41948,late
Public Enterprises,Written,2647,41923,41949,late
Public S and Administration,Written,2648,41923,41937,on time
Public Works,Written,2649,41923,41948,Late
Rural Dev & Land Reforms,Written,2650,41923,41976,very late
Science & Technology,Written ,2651,41923,41948,late
Social Development,Written,2652,41923,41934,on time
Sport & Recreation ,Written,2653,41923,41942,late
State Security,Written,2654,41923,41927,On time
Tourism,Written,2655,41923,41933,on time
Transport,Written,2656,41923,41936,on time
Trade and Industry,Written,2657,41923,41930,On time
"Women, C&PwD",Written,2658,41923,41948,late
Performance Monitoring,Written,2659,41923,41940,late
Sport & Recreation ,Written,2666,41923,41977,very late
Trade and Industry,Written,2667,41923,41930,On time
Health ,Written,2669,41923,41943,late
Rural Dev & Land Reforms,Written,2670,41923,41969,very late
Public S and Administration,Written,2672,41923,41956,late
Higher education and training,Written,2673,41923,41941,late
Human settlements ,Written,2674,41923,41934,on time
Higher education and training,Written,2675,41923,41933,on time
Basic Education,Written,2676,41923,41969,very late
Police,Written,2678,41923,41948,late
Justice and CD,Written,2680,41923,41935,on time
Rural Dev & Land Reforms,Written,2681,41923,41951,late
Trade and Industry,Written,2682,41923,41929,On time
State Security,Written,2685,41923,41948,late
Public Works,Written,2686,41923,41975,very late
Labour,Written,2687,41923,41948,late
Justice and CD,Written,2688,41923,41948,late
Energy ,Written,2691,41923,41971,very late
Trade and Industry,Written,2692,41923,41929,On time
Trade and Industry,Written,2693,41923,41930,On time
Human settlements ,Written,2694,41923,41944,late
Intl Relations and Cooperation,Written,2698,41923,41935,on time
Mineral resources,Written,2699,41923,41948,Late
Intl Relations and Cooperation,Written,2700,41923,41935,on time
Finance,Written,2703,41923,41948,Late
Finance,Written,2704,41923,41948,Late
Human settlements ,Written,2705,41923,41934,on time
Energy ,Written,2706,41923,41948,late
Energy ,Written,2707,41923,41948,late
Performance Monitoring,Written,2709,41923,41975,very late
Justice and CD,Written,2710,41923,41935,late
Energy ,Written,2713,41923,41948,late
Transport,Written,2714,41923,41948,late
Trade and Industry,Written,2715,41923,41930,On time
Correctional Services,Written,2716,41930,41984,very late
Energy ,Written,2717,41930,41948,late
Police,Written,2718,41930,41948,late
Public Works,Written,2719,41930,41948,Late
Intl Relations and Cooperation,Written,2720,41930,41935,on time
Water & Environmental affairs,Written,2721,41930,41944,on time
Performance Monitoring,Written,2722,41930,41940,on time
Public S and Administration,Written,2723,41930,41985,very late
Justice and CD,Written,2725,41930,41948,late
Home affairs,Written,2726,41930,41969,Late
Home affairs,Written,2727,41930,41947,Late
Justice and CD,Written,2728,41930,41948,late
Justice and CD,Written,2729,41930,41948,late
Justice and CD,Written,2730,41930,41948,late
Trade and Industry,Written,2731,41930,41934,On time
Public Works,Written,2733,41930,41948,Late
Human settlements ,Written,2735,41930,41948,late
Human settlements ,Written,2736,41930,41948,late
Police,Written,2738,41930,41948,late
Social Development,Written,2739,41930,41965,Late
Public Enterprises,Written,2742,41930,41976,very late
Rural Dev & Land Reforms,Written,2743,41930,41985,very late
Public Enterprises,Written,2744,41930,41955,late
Science & Technology,Written ,2745,41930,41976,very late
Energy ,Written,2746,41930,41948,late
Police,Written,2748,41930,41948,late
Public Works,Written,2749,41930,41985,very late
Justice and CD,Written,2750,41930,41948,late
Intl Relations and Cooperation,Written,2751,41930,41935,on time
Home affairs,Written,2752,41930,41947,Late
Labour,Written,2753,41930,41948,late
Performance Monitoring,Written,2754,41930,41958,late
Social Development,Written,2755,41930,41947,Late
Public Works,Written,2756,41930,41975,very late
Science & Technology,Written ,2757,41930,41941,on time
Science & Technology,Written ,2759,41930,41943,on time
Basic Education,Written,2760,41930,41976,very late
Basic Education,Written,2761,41930,41948,late
Basic Education,Written,2762,41930,41950,late
Labour,Written,2763,41930,41948,late
Labour,Written,2764,41930,41948,late
Labour,Written,2765,41930,41948,late
Police,Written,2767,41930,41948,late
Police,Written,2768,41930,41948,late
Rural Dev & Land Reforms,Written,2771,41930,41969,late
"Women, C&PwD",Written,2774,41930,41962,late
"Women, C&PwD",Written,2775,41930,41962,late
Basic Education,Written,2776,41930,41976,very late
Health ,Written,2777,41930,41962,late
Social Development,Written,2778,41930,41947,Late
Home affairs,Written,2779,41930,41947,Late
Social Development,Written,2780,41930,41947,Late
Labour,Written,2781,41930,41948,late
Finance,Written,2782,41930,41965,Late
Correctional Services,Written,2783,41930,41978,very late
Public Works,Written,2784,41930,41975,very late
Health ,Written,2785,41930,41985,very late
Transport,Written,2786,41930,41948,late
Finance,Written,2787,41930,41948,Late
Public Enterprises,Written,2788,41930,41954,late
Finance,Written,2789,41930,41962,Late
Finance,Written,2790,41930,41968,Late
Finance,Written,2792,41930,41962,Late
Rural Dev & Land Reforms,Written,2794,41930,41985,very late
Finance,Written,2796,41930,41962,Late
Water & Environmental affairs,Written,2797,41930,41943,on time
Energy ,Written,2798,41930,41948,late
Higher education and training,Written,2799,41930,41941,on time
Home affairs,Written,2800,41930,41956,Late
Human settlements ,Written,2801,41930,41948,late
Intl Relations and Cooperation,Written,2802,41930,41948,late
Justice and CD,Written,2803,41930,41948,late
Labour,Written,2804,41930,41948,late
Mineral resources,Written,2805,41930,41948,Late
Police,Written,2806,41930,41948,late
Public Enterprises,Written,2807,41930,41961,late
Public S and Administration,Written,2808,41930,41956,late
Public Works,Written,2809,41930,41948,Late
Rural Dev & Land Reforms,Written,2810,41930,41969,very late
Science & Technology,Written ,2811,41930,41944,on time
Social Development,Written,2812,41930,41947,Late
Sport & Recreation ,Written,2813,41930,41942,on time
State Security,Written,2814,41930,41934,On time
Tourism,Written,2815,41930,41947,late
Transport,Written,2816,41930,41947,late
Trade and Industry,Written,2817,41930,41934,On time
"Women, C&PwD",Written,2818,41930,41951,late
Health ,Written,2819,41930,41962,late
Basic Education,Written,2822,41930,41948,late
Correctional Services,Written,2825,41930,41977,very late
Defence & MVs,Written,2826,41930,41985,very late
Economic Development,Written,2827,41930,41937,on time
Performance Monitoring,Written,2828,41930,41958,late
Social Development,Written,2830,41937,41963,Late
Social Development,Written,2831,41937,41976,Late
Police,Written,2832,41937,41962,late
"Women, C&PwD",Written,2836,41937,41944,on time
Public S and Administration,Written,2837,41937,41978,late
Police,Written,2838,41937,41962,late
Police,Written,2839,41937,41962,late
Home affairs,Written,2841,41937,41982,very late
"Women, C&PwD",Written,2842,41937,41950,on time
"Women, C&PwD",Written,2843,41937,41948,on time
Police,Written,2845,41937,41962,late
Police,Written,2846,41937,41962,late
Defence & MVs,Written,2847,41937,41985,very late
Home affairs,Written,2848,41937,41955,Late
Home affairs,Written,2849,41937,41956,Late
Home affairs,Written,2850,41937,41956,Late
Home affairs,Written,2851,41937,41956,Late
Home affairs,Written,2852,41937,41955,Late
Intl Relations and Cooperation,Written,2853,41937,41975,late
Justice and CD,Written,2854,41937,41962,late
Public S and Administration,Written,2855,41937,41962,late
Defence & MVs,Written,2856,41937,41962,late
Justice and CD,Written,2857,41937,41962,late
Social Development,Written,2858,41937,41965,Late
Public Works,Written,2859,41937,41948,on time
Finance,Written,2860,41937,41965,Late
Finance,Written,2861,41937,41972,Late
Home affairs,Written,2863,41937,41956,Late
Home affairs,Written,2864,41937,41956,Late
Home affairs,Written,2865,41937,41955,Late
Justice and CD,Written,2866,41937,41962,late
Defence & MVs,Written,2867,41937,41985,very late
Higher education and training,Written,2869,41937,41955,late
Higher education and training,Written,2870,41937,41955,late
Police,Written,2871,41937,41962,late
Health ,Written,2872,41937,41984,very late
Sport & Recreation ,Written,2873,41937,41977,late
Police,Written,2874,41937,41962,late
Defence & MVs,Written,2875,41937,41985,very late
Defence & MVs,Written,2876,41937,41985,very late
Defence & MVs,Written,2877,41937,41985,very late
Finance,Written,2878,41937,41962,Late
Transport,Written,2879,41937,41962,late
Defence & MVs,Written,2881,41937,41985,very late
Police,Written,2882,41937,41976,late
Justice and CD,Written,2883,41937,41962,late
Justice and CD,Written,2884,41937,41962,late
Finance,Written,2885,41937,41962,Late
Water & Environmental affairs,Written,2886,41937,41962,late
Energy ,Written,2887,41937,41948,on time
Higher education and training,Written,2888,41937,41947,on time
Home affairs,Written,2889,41937,41955,Late
Human settlements ,Written,2890,41937,41948,on time
Intl Relations and Cooperation,Written,2891,41937,41944,on time
Justice and CD,Written,2892,41937,41962,late
Mineral resources,Written,2894,41937,41948,on time
Police,Written,2895,41937,41962,late
Public Enterprises,Written,2896,41937,41976,late
Public S and Administration,Written,2897,41937,41956,late
Public Works,Written,2898,41937,41948,on time
Rural Dev & Land Reforms,Written,2899,41937,41985,very late
Science & Technology,Written ,2900,41937,41951,on time
Social Development,Written,2901,41937,41985,Very late
State Security,Written,2903,41937,41942,On time
Tourism,Written,2904,41937,41947,on time
Transport,Written,2905,41937,41962,late
Trade and Industry,Written,2906,41937,41947,On time
"Women, C&PwD",Written,2907,41937,41948,on time
Health ,Written,2908,41937,41985,very late
Basic Education,Written,2911,41937,41948,on time
Defence & MVs,Written,2915,41937,41977,late
Economic Development,Written,2916,41937,41961,late
Performance Monitoring,Written,2917,41937,41961,late
Finance,Written,2918,41937,41962,Late
Water & Environmental affairs,Written,2919,41937,41957,late
Energy ,Written,2920,41937,41948,on time
Higher education and training,Written,2921,41937,41947,on time
Home affairs,Written,2922,41937,41955,Late
Human settlements ,Written,2923,41937,41948,on time
Intl Relations and Cooperation,Written,2924,41937,41944,on time
Justice and CD,Written,2925,41937,41962,late
Mineral resources,Written,2927,41937,41948,on time
Police,Written,2928,41937,41962,late
Public Enterprises,Written,2929,41937,41976,late
Public S and Administration,Written,2930,41937,41956,late
Public Works,Written,2931,41937,41954,Late
Rural Dev & Land Reforms,Written,2932,41937,41976,late
Science & Technology,Written ,2933,41937,41951,on time
Social Development,Written,2934,41937,41955,Late
State Security,Written,2936,41937,41948,On time
Tourism,Written,2937,41937,41947,on time
Transport,Written,2938,41937,41962,late
Trade and Industry,Written,2939,41937,41947,On time
"Women, C&PwD",Written,2940,41937,41948,on time
Health ,Written,2941,41937,41985,very late
Basic Education,Written,2944,41937,41948,on time
Defence & MVs,Written,2948,41937,41977,late
Economic Development,Written,2949,41937,41957,late
Performance Monitoring,Written,2950,41937,41957,late
Public Works,Written,2951,41937,41961,Late
Economic Development,Written,2952,41937,41962,late
Transport,Written,2953,41937,41962,late
Defence & MVs,Written,2954,41937,41962,late
Police,Written,2955,41937,41962,late
Social Development,Written,2956,41937,41965,Late
Health ,Written,2957,41937,41984,very late
Intl Relations and Cooperation,Written,2958,41937,41976,late
Trade and Industry,Written,2959,41937,41947,On time
Economic Development,Written,2960,41937,41957,late
Water & Environmental affairs,Written,2961,41937,41957,late
Water & Environmental affairs,Written,2962,41937,41957,late
Water & Environmental affairs,Written,2963,41937,41962,late
Higher education and training,Written,2964,41937,41947,on time
Rural Dev & Land Reforms,Written,2965,41937,41985,very late
Higher education and training,Written,2966,41937,41944,on time
Science & Technology,Written ,2967,41937,41948,on time
Science & Technology,Written ,2968,41937,41948,on time
Water & Environmental affairs,Written,2969,41937,41944,on time
Water & Environmental affairs,Written,2970,41937,41944,on time
Higher education and training,Written,2971,41937,41947,on time
"Women, C&PwD",Written,2972,41937,41951,on time
"Women, C&PwD",Oral,297,41942,41942,on time
COGTA,Oral,298,41942,41949,late
COGTA,Oral,299,41942,41942,on time
Public S and Administration,Oral,300,41942,41943,on time
Performance Monitoring,Oral,301,41942,41942,on time
Public S and Administration,Oral,302,41942,41943,on time
Public S and Administration,Oral,303,41942,41943,on time
COGTA,Oral,304,41942,41949,late
"Women, C&PwD",Oral,306,41942,41944,late
"Women, C&PwD",Oral,307,41942,41944,late
"Women, C&PwD",Oral,309,41942,41944,late
"Women, C&PwD",Oral,310,41942,41944,late
"Women, C&PwD",Oral,311,41942,41944,late
COGTA,Oral,313,41942,41949,late
COGTA,Oral,314,41942,41942,on time
Performance Monitoring,Oral,315,41942,41942,on time
Performance Monitoring,Oral,316,41942,41942,on time
Performance Monitoring,Oral,317,41942,41942,on time
Performance Monitoring,Oral,319,41942,41942,on time
Performance Monitoring,Oral,320,41942,41942,on time
Performance Monitoring,Oral,321,41942,41942,on time
Performance Monitoring,Oral,324,41942,41942,on time
Public S and Administration,Oral,325,41942,41943,on time
Performance Monitoring,Oral,327,41942,41942,on time
"Women, C&PwD",Oral,328,41942,41944,late
"Women, C&PwD",Oral,329,41942,41944,late
COGTA,Oral,330,41942,41951,late
COGTA,Oral,331,41942,41951,late
COGTA,Oral,332,41942,41951,late
COGTA,Oral,334,41942,41951,late
COGTA,Oral,335,41942,41942,on time
"Women, C&PwD",Oral,336,41942,41944,late
"Women, C&PwD",Oral,337,41942,41944,late
Public S and Administration,Oral,338,41942,41943,on time
Public S and Administration,Written,2973,41944,41951,on time
Public S and Administration,Written,2974,41944,41965,late
Social Development,Written,2975,41944,41965,Late
Justice and CD,Written,2977,41944,41962,late
Water & Environmental affairs,Written,2978,41944,41957,on time
Performance Monitoring,Written,2979,41944,41976,late
Basic Education,Written,2985,41944,41968,late
Basic Education,Written,2986,41944,41975,late
Basic Education,Written,2987,41944,41968,late
Water & Environmental affairs,Written,2988,41944,41976,late
Intl Relations and Cooperation,Written,2989,41944,41975,late
Justice and CD,Written,2990,41944,41962,late
Intl Relations and Cooperation,Written,2991,41944,41975,late
Water & Environmental affairs,Written,2992,41944,41961,late
Human settlements ,Written,2993,41944,41962,late
Home affairs,Written,2994,41944,41969,Late
Defence & MVs,Written,2998,41944,41985,late
Home affairs,Written,2999,41944,41969,Late
Home affairs,Written,3000,41944,41968,Late
Home affairs,Written,3001,41944,41968,Late
Home affairs,Written,3002,41944,41968,Late
Home affairs,Written,3003,41944,41968,Late
Home affairs,Written,3004,41944,41968,Late
Home affairs,Written,3005,41944,41968,Late
Justice and CD,Written,3007,41944,41962,late
Water & Environmental affairs,Written,3008,41944,41970,late
Public S and Administration,Written,3009,41944,41962,late
Human settlements ,Written,3010,41944,41962,late
Human settlements ,Written,3011,41944,41961,late
Human settlements ,Written,3012,41944,41961,late
Human settlements ,Written,3013,41944,41962,late
Human settlements ,Written,3014,41944,41962,late
Human settlements ,Written,3015,41944,41962,late
Health ,Written,3016,41944,41962,late
Health ,Written,3017,41944,41962,late
Home affairs,Written,3022,41944,41968,Late
Police,Written,3023,41944,41962,late
State Security,Written,3024,41944,41948,On time
Min in the Pres: Nat Planning,Written,3025,41944,41948,on time
Mineral resources,Written,3026,41944,41976,Late
Public S and Administration,Written,3027,41944,41962,late
"Women, C&PwD",Written,3028,41944,41950,on time
Trade and Industry,Written,3029,41944,41951,On time
Rural Dev & Land Reforms,Written,3030,41944,41970,late
Rural Dev & Land Reforms,Written,3031,41944,41982,late
President ,Oral,13,41949,41949,on time
President ,Oral,14,41949,41949,on time
President ,Oral,15,41949,41949,on time
President ,Oral,16,41949,41949,on time
President ,Oral,17,41949,41949,on time
President ,Oral,18,41949,41949,on time
Basic Education,Written,3034,41951,41975,late
Water & Environmental affairs,Written,3035,41951,41969,late
Water & Environmental affairs,Written,3036,41951,41970,late
Communications,Written,3038,41951,41976,late
Public Enterprises,Written,3039,41951,41976,late
State Security,Written,3041,41951,41962,On time
Basic Education,Written,3042,41951,41972,late
Basic Education,Written,3043,41951,41969,late
Basic Education,Written,3044,41951,41668,very late
Water & Environmental affairs,Written,3045,41951,41969,late
Health ,Written,3046,41951,41976,late
Justice and CD,Written,3048,41951,41971,late
Home affairs,Written,3050,41951,41968,Late
Transport,Written,3051,41951,41975,late
Transport,Written,3052,41951,41975,late
Energy ,Written,3053,41951,41971,late
Energy ,Written,3054,41951,41971,late
Energy ,Written,3056,41951,41971,late
Justice and CD,Written,3057,41951,41971,late
Performance Monitoring,Written,3060,41951,41975,late
Police,Written,3061,41951,41976,late
Finance,Written,3062,41951,41965,on time
Rural Dev & Land Reforms,Written,3063,41951,41983,late
Health ,Written,3064,41951,41976,late
Health ,Written,3065,41951,41983,late
Human settlements ,Written,3067,41951,41961,on time
Public Works,Written,3068,41951,41975,Late
Rural Dev & Land Reforms,Written,3069,41951,41982,late
Public Works,Written,3071,41951,41975,Late
Police,Written,3072,41951,41976,late
Public Works,Written,3073,41951,41985,Late
Health ,Written,3074,41951,41976,late
Economic Development,Written,3076,41951,41976,late
Water & Environmental affairs,Written,3077,41951,41976,late
Mineral resources,Written,3078,41951,41976,Late
Defence & MVs,Written,3079,41951,41985,late
Defence & MVs,Written,3080,41951,41985,late
Defence & MVs,Written,3081,41951,41985,late
Health ,Written,3082,41958,41976,late
Public Works,Written,3083,41958,41985,Late
Tourism,Written,3084,41958,41975,late
Police,Written,3085,41958,41976,late
Police,Written,3086,41958,41976,late
Tourism,Written,3087,41958,41975,late
Tourism,Written,3088,41958,41975,late
Tourism,Written,3089,41958,41975,late
